Year,Type,Name,Death toll
1851,Bushfire,Black Thursday bushfires,12
1852,Flood,1852 Gundagai flood,89
1860,Flood,Nowra Flood,16
1875,Cyclone,Sinking of the SS Gothenburg,98
1887,Cyclone,Unnamed Cyclone (1887),140
1893,Flood,1893 Brisbane flood,35
1894,Cyclone,1894 January 4th unnamed tropical cyclone,40
1894,Cyclone,1894 January 9th unnamed tropical cyclone,40
1895,Bushfire,1895–1896 Australian heat wave,437
1896,Cyclone,Cyclone Sigma,23
1897,Cyclone,1897 Darwin cyclone,28
1898,Bushfire,Red Tuesday bushfires,12
1899,Cyclone,Cyclone Mahina,300
1903,Cyclone,Cyclone Leonta,14
1907,Heat wave,1907–1908 Australian heat wave,246
1909,Flood,1909 Western Victorian floods,4
1909,Heat wave,1909–1910 Australian heat wave,109
1911,Cyclone,Sinking of the SS Yongala,122
1911,Heat wave,1911–1912 Australian heat wave,143
1912,Cyclone,Sinking of the SS Koombana and Balla Balla cyclone,173
1913,Heat wave,1913–1914 Australian heat wave,122
1916,Flood,Clermont flood of 1916,65
1918,Cyclone,Mackay cyclone,30
1918,Cyclone,Innisfail cyclone,37
1920,Heat wave,1920–1921 Australian heat wave,147
1926,Bushfire,1925–26 Victorian bushfire season,60
1926,Heat wave,1926–1927 Australian heat wave,130
1929,Flood,1929 Tasmanian floods,22
1932,Bushfire,1932 West Gippsland fires,9
1934,Flood,1934 Victorian floods,36
1938,Bushfire,Black Sunday,5
1938,Heat wave,Black Friday bushfires,438
1939,Bushfire,Black Friday,71
1939,Heat wave,1939–1940 Australian heat wave,112
1943,Bushfire,1943–44 Victorian bushfire season,51
1947,Hailstorm,1947 Sydney hailstorm,0
1951,Volcano,Mount Lamington eruption,2942
1954,Cyclone,The Gold Coast Cyclone,26
1955,Bushfire,Black Sunday bushfires,2
1955,Flood,1955 Hunter Valley floods,25
1959,Heat wave,1959 Australian heat wave,105
1961,Bushfire,Western Australian bushfires,0
1965,Bushfire,Chatsbury bushfires,3
1967,Bushfire,Tasmanian fires,62
1969,Bushfire,1969 bushfires,23
1970,Cyclone,Cyclone Ada,14
1971,Flood,1971 Canberra flood,7
1971,Tornado,Kin Kin tornado,3
1974,Bushfire,1974-75 Australian bushfire season,6
1974,Flood,Brisbane flood,16
1974,Cyclone,Cyclone Tracy,71
1978,Cyclone,Cyclone Alby,7
1983,Bushfire,Ash Wednesday bushfires,75
1989,Cyclone,Cyclone Orson,5
1989,Earthquake,Newcastle earthquake,13
1990,Flood,Cyclone Nancy,6
1990,Cyclone,Cyclone Nancy,6
1993,Bushfire,Eastern seaboard fires,4
1996,Landslide,Gracetown landslide,9
1997,Landslide,Thredbo landslide,18
1998,Flood,Cyclone Les,3
1998,Cyclone,Cyclone Les,3
1998,Flood,1998 Townsville and Thuringowa city floods,1
1998,Bushfire,Linton Bushfire,5
1998,Thunderstorm,Sydney to Hobart Yacht Race,6
1999,Cyclone,Cyclone Vance,0
1999,Hailstorm,Sydney hailstorm,1
2001,Bushfire,Black Christmas bushfires,0
2002,Cyclone,Cyclone Chris,12
2003,Thunderstorm,2003 Melbourne thunderstorm,0
2003,Bushfire,Canberra bushfires,4
2003,Bushfire,Eastern Victorian alpine bushfires,3
2005,Bushfire,Eyre Peninsula bushfire,9
2006,Bushfire,Junee Bushfire,0
2006,Cyclone,Cyclone Glenda,0
2006,Bushfire,Mount Lubra bushfire,2
2006,Cyclone,Cyclone Larry,1
2006,Bushfire,Pulletop bushfire,0
2007,Bushfire,Kangaroo Island bushfires,1
2007,Cyclone,Cyclone George,5
2007,Flood/Storm,2007 New South Wales storms,10
2008,Thunderstorm,Queensland storms,2
2009,Heat wave,2009 southeastern Australia heat wave,374
2011,Flood,2011 Victoria floods,2
2011,Flood,2011 Wollongong floods,0
2013,Bushfire,Tasmanian bushfires,1
2013,Bushfire,New South Wales bushfires,1
2013,Cyclone,Cyclone Oswald,7
2014,Hailstorm,Brisbane hailstorm,0
2014,Cyclone,Cyclone Ita,0
2015,Bushfire,Sampson Flat bushfires,0
2015,Bushfire,Esperance bushfires,4
2015,Bushfire,Pinery bushfire,2
2017,Bushfire,Carwoola bushfire,0
2017,Cyclone,Cyclone Debbie,14
2018,Flood,2018 Broome flood,0
2018,Bushfire,Tathra bushfire,0
2019,Flood,2019 Townsville flood,5
2019,Bushfire,2019–20 bushfire season,34
2021,Bushfire,Wooroloo bushfire,0
2021,Flood,2021 Eastern Australian floods,3
2021,Cyclone,Cyclone Seroja,1
2022,Cyclone,Cyclone Seth,2
2022,Flood,2022 eastern Australia floods,28
2022,Flood,2022 New South Wales floods,1
2022,Flood,2022 south eastern Australia floods,7
2022,Cyclone,2022 Kimberley floods,0
2023,Cyclone,2023 Cyclone Freddy,0
2023,Cyclone,2023 Cyclone Gabrielle,0
2023,Cyclone,2023 Invest 94S,0
